geo_id,year,promotion_rate,promotion_rate_male,promotion_rate_female,repetition_rate,repetition_rate_male,repetition_rate_female,dropout_rate,dropout_rate_male,dropout_rate_female,completion_rate,completion_rate_male,completion_rate_female
CRI_000033,2014,0.8726114649681529,0.8654545454545455,0.8797814207650273,0.12738853503184713,0.06733393994540492,0.06005459508644222,0.009057971014492754,0.007246376811594203,0.0018115942028985507,1.0,1.0,1.0
CRI_000030,2014,0.9776733254994124,0.9703872437357631,0.9854368932038835,0.022326674500587545,0.01527614571092832,0.007050528789659225,0.010625737898465172,0.0059031877213695395,0.004722550177095631,1.0,1.0,1.0
CRI_000211,2014,0.8922237380627558,0.8594594594594595,0.9256198347107438,0.1077762619372442,0.07094133697135062,0.036834924965893585,0.049738219895287955,0.02225130890052356,0.0274869109947644,1.0,1.0,1.0
CRI_000243,2014,0.972139303482587,0.9668615984405458,0.9776422764227642,0.027860696517412936,0.01691542288557214,0.010945273631840797,0.017769002961500493,0.013820335636722606,0.003948667324777887,0.9814814814814815,0.9767441860465116,0.9868421052631579
CRI_000111,2014,0.9642126789366053,0.9471544715447154,0.9814814814814815,0.03578732106339468,0.026584867075664622,0.009202453987730062,0.027,0.012,0.015,1.0,1.0,1.0
CRI_000022,2014,0.9274353876739563,0.943089430894309,0.9124513618677043,0.07256461232604373,0.027833001988071572,0.04473161033797217,0.02541544477028348,0.007820136852394917,0.017595307917888565,0.9838709677419355,0.9852941176470589,0.9821428571428571
CRI_000105,2014,0.9533333333333334,0.9470198675496688,0.959731543624161,0.04666666666666667,0.02666666666666667,0.02,0.009251471825063078,0.007569386038687973,0.001682085786375105,1.0,1.0,1.0
CRI_001152,2014,0.997872340425532,0.9956140350877193,1.0,0.002127659574468085,0.002127659574468085,0.0,0.01284796573875803,0.006423982869379015,0.006423982869379015,1.0,1.0,1.0
CRI_000131,2014,0.9318181818181818,0.9373219373219374,0.9255663430420712,0.06818181818181818,0.03333333333333333,0.03484848484848485,0.00764525993883792,0.0,0.00764525993883792,1.0,1.0,1.0
CRI_000121,2014,0.9833333333333333,0.9813664596273292,0.9853249475890985,0.016666666666666666,0.009375,0.007291666666666667,0.013224821973550356,0.007121057985757884,0.006103763987792472,1.0,1.0,1.0
CRI_001708,2014,0.9734513274336283,0.9710144927536232,0.9761273209549072,0.02654867256637168,0.015170670037926675,0.011378002528445006,0.018820577164366373,0.015056461731493099,0.0037641154328732747,1.0,1.0,1.0
CRI_000082,2014,0.9656593406593407,0.9447368421052632,0.9885057471264368,0.034340659340659344,0.028846153846153848,0.005494505494505495,0.009655172413793104,0.006896551724137931,0.002758620689655172,0.9481481481481482,0.8955223880597015,1.0
CRI_001386,2014,0.9912087912087912,0.9934924078091106,0.9888641425389755,0.008791208791208791,0.0032967032967032967,0.005494505494505495,0.012021857923497269,0.007650273224043716,0.004371584699453552,1.0,1.0,1.0
CRI_001359,2014,0.9652173913043478,0.946257197696737,0.9844357976653697,0.034782608695652174,0.02705314009661836,0.007729468599033816,0.00682261208576998,0.0009746588693957114,0.005847953216374269,0.9657534246575342,0.935064935064935,1.0
