geo_id,source_id,country,school_name,school_name_romanized,isced_level,school_type,sector,adm0,adm1,adm2,adm3,urban_rural,ghsl_smod_code,ghsl_urban_rural,latitude,longitude,coordinate_source,coordinate_precision,status,source_id_institution
COL_006254,219142000905,COL,CENTRO DOCENTE RURAL MIXTO NAPOLES,,0123,sede_anexa,public,Colombia,Cauca,Caloto,,rural,,,2.97,-76.39,official_emis,approximate,open,219142000247
COL_006255,219698002885,COL,CENTRO DOCENTE RURAL MIXTO NASA KIWE TCK KSHAW,,0123,sede_anexa,public,Colombia,Cauca,Santander De Quilichao,,rural,,,3.02,-76.5,official_emis,approximate,open,219698000629
COL_006256,219824000150,COL,CENTRO DOCENTE RURAL MIXTO NOVIRAO,,0123,sede_principal,public,Colombia,Cauca,Totoró,,rural,,,2.55,-76.54,official_emis,approximate,open,219824000150
COL_006257,219824000320,COL,CENTRO DOCENTE RURAL MIXTO NUEVA ORLEANS,,0123,sede_anexa,public,Colombia,Cauca,Totoró,,rural,,,2.51,-76.37,official_emis,approximate,open,219824001024
COL_006258,219137001278,COL,CENTRO DOCENTE RURAL MIXTO PALESTINA,,0123,sede_anexa,public,Colombia,Cauca,Caldono,,rural,,,2.8,-76.48,official_emis,approximate,open,119137000293
COL_006259,219364000105,COL,CENTRO DOCENTE RURAL MIXTO PALETON,,0123,sede_principal,public,Colombia,Cauca,Jambaló,,rural,,,2.78,-76.32,official_emis,approximate,open,219364000105
COL_006260,219824000133,COL,CENTRO DOCENTE RURAL MIXTO PANIQUITA,,0123,sede_anexa,public,Colombia,Cauca,Totoró,,rural,,,2.52,-76.47,official_emis,approximate,open,219824000371
COL_006261,219743001011,COL,CENTRO DOCENTE RURAL MIXTO PARAMO AMOLADERO,,0123,sede_anexa,public,Colombia,Cauca,Silvia,,rural,,,2.75,-76.28,official_emis,approximate,open,219743000210
COL_006262,219743000171,COL,CENTRO DOCENTE RURAL MIXTO PENEBIO,,0123,sede_principal,public,Colombia,Cauca,Silvia,,rural,,,2.65,-76.45,official_emis,approximate,open,219743000171
COL_006263,219137000182,COL,CENTRO DOCENTE RURAL MIXTO PUEBLO NUEVO,,0123,sede_anexa,public,Colombia,Cauca,Caldono,,rural,,,2.74,-76.45,official_emis,approximate,open,119137000293
COL_006264,219821000248,COL,CENTRO DOCENTE RURAL MIXTO PUENTE QUEMADO,,0123,sede_anexa,public,Colombia,Cauca,Toribío,,rural,,,2.92,-76.22,official_emis,approximate,open,219821000230
COL_006265,219743000147,COL,CENTRO DOCENTE RURAL MIXTO QUICHAYA,,0123,sede_principal,public,Colombia,Cauca,Silvia,,rural,,,2.72,-76.38,official_emis,approximate,open,219743000147
COL_006266,219743000121,COL,CENTRO DOCENTE RURAL MIXTO QUIZGO,,0123,sede_anexa,public,Colombia,Cauca,Silvia,,rural,,,2.64,-76.41,official_emis,approximate,open,219743000171
COL_006267,219821000671,COL,CENTRO DOCENTE RURAL MIXTO RIONEGRO,,0123,sede_anexa,public,Colombia,Cauca,Toribío,,rural,,,3.02,-76.28,official_emis,approximate,open,219821000116
COL_006268,219137001197,COL,CENTRO DOCENTE RURAL MIXTO SAN ANTONIO,,0123,sede_anexa,public,Colombia,Cauca,Caldono,,rural,,,2.74,-76.44,official_emis,approximate,open,119137000293
COL_006269,219364000415,COL,CENTRO DOCENTE RURAL MIXTO SAN ANTONIO,,0123,sede_anexa,public,Colombia,Cauca,Jambaló,,rural,,,2.76,-76.35,official_emis,approximate,open,119364000267
COL_006270,219137001260,COL,CENTRO DOCENTE RURAL MIXTO SAN JOSE DE LOS MONOS,,0123,sede_anexa,public,Colombia,Cauca,Caldono,,rural,,,2.77,-76.46,official_emis,approximate,open,119137000293
COL_006271,219137000255,COL,CENTRO DOCENTE RURAL MIXTO SAN JUANITO,,0123,sede_anexa,public,Colombia,Cauca,Caldono,,rural,,,2.8,-76.39,official_emis,approximate,open,119137000293
COL_006272,219137001111,COL,CENTRO DOCENTE RURAL MIXTO SAN PEDRO,,0123,sede_anexa,public,Colombia,Cauca,Caldono,,rural,,,2.76,-76.46,official_emis,approximate,open,119137000293
COL_006273,219212000274,COL,CENTRO DOCENTE RURAL MIXTO SAN PEDRO,,0123,sede_anexa,public,Colombia,Cauca,Corinto,,rural,,,3.18,-76.2,official_emis,approximate,open,219212000690
COL_006274,219212000355,COL,CENTRO DOCENTE RURAL MIXTO SANTA ELENA,,0123,sede_anexa,public,Colombia,Cauca,Corinto,,rural,,,3.13,-76.23,official_emis,approximate,open,219212000339
COL_006275,419821002673,COL,CENTRO DOCENTE RURAL MIXTO SANTA RITA,,0123,sede_anexa,public,Colombia,Cauca,Toribío,,rural,,,2.93,-76.29,official_emis,approximate,open,319821000412
COL_006276,219821000221,COL,CENTRO DOCENTE RURAL MIXTO SANTO DOMINGO,,0123,sede_anexa,public,Colombia,Cauca,Toribío,,rural,,,3.03,-76.13,official_emis,approximate,open,219821000400
COL_006277,219137800022,COL,CENTRO DOCENTE RURAL MIXTO SEK KIWE,,0123,sede_anexa,public,Colombia,Cauca,Caldono,,rural,,,2.83,-76.51,official_emis,approximate,open,119137000293
