geo_id,source_id,lby_reliable
LBY_000375,MI-304,Reliable
LBY_000376,ZA-202,Reliable
LBY_000377,KO-026,Reliable
LBY_000378,KU-214,Reliable
LBY_000379,WM-006,Reliable
LBY_000380,NA-005,Reliable
LBY_000381,SI-024,Reliable
LBY_000382,TR-537,Reliable
LBY_000383,BI-030,Reliable
LBY_000384,TR-062,Reliable
LBY_000385,WM-105,Reliable
LBY_000386,WS-037,Reliable
LBY_000387,WH-003,Reliable
LBY_000388,TR-236,Reliable
LBY_000389,MA-089,Reliable
LBY_000390,KO-008,Unrelaible
LBY_000391,KU-005,Reliable
LBY_000392,MI-349,Reliable
LBY_000393,MU-220,Reliable
LBY_000394,TR-025,Reliable
LBY_000395,MA-090,Reliable
LBY_000396,WA-022,Reliable
LBY_000397,KO-024,Reliable
LBY_000398,TR-538,Reliable
LBY_000399,WM-128,Reliable
LBY_000400,ZA-033,Reliable
LBY_000401,MI-148,Reliable
LBY_000402,MU-218,Reliable
LBY_000403,MU-114,Reliable
LBY_000404,WH-001,Reliable
LBY_000405,MU-009,Reliable
LBY_000406,KO-045,Reliable
LBY_000407,KO-011,Reliable
LBY_000408,MI-146,Reliable
LBY_000409,MI-121,Reliable
LBY_000410,KU-141,Reliable
LBY_000411,GM-055,Reliable
LBY_000412,GM-218,Reliable
LBY_000413,JA-004,Reliable
LBY_000414,KU-157,Reliable
LBY_000415,WH-058,Reliable
LBY_000416,MU-414,Reliable
LBY_000417,KU-125,Reliable
LBY_000418,MU-131,Reliable
LBY_000419,MI-075,Reliable
LBY_000420,TR-173,Reliable
LBY_000421,SA-085,Reliable
LBY_000422,SA-015,Reliable
LBY_000423,GM-128,Reliable
LBY_000424,WH-002,Reliable
LBY_000425,KO-004,Reliable
LBY_000426,WS-012,Reliable
LBY_000427,MA-139,Reliable
LBY_000428,JA-289,Reliable
LBY_000429,NA-042,Reliable
LBY_000430,SI-026,Unrelaible
LBY_000431,MI-350,Reliable
LBY_000432,BI-024,Reliable
LBY_000433,MU-385,Reliable
LBY_000434,MU-219,Reliable
LBY_000435,MI-548,Reliable
LBY_000436,MU-420,Unrelaible
LBY_000437,TR-354,Reliable
LBY_000438,TR-010,Reliable
LBY_000439,WM-129,Reliable
LBY_000440,NA-041,Reliable
LBY_000441,BI-225,Reliable
LBY_000442,BI-159,Reliable
LBY_000443,BI-483,Unrelaible
LBY_000444,JA-173,Reliable
LBY_000445,bi-513,Reliable
LBY_000446,BI-021,Reliable
LBY_000447,MA-227,Unrelaible
LBY_000448,WS-007,Reliable
LBY_000449,MU-007,Reliable
LBY_000450,BI-160,Reliable
LBY_000451,MA-008,Reliable
LBY_000452,ZA-226,Unrelaible
LBY_000453,TR-539,Reliable
LBY_000454,TR-259,Reliable
LBY_000455,MU-113,Reliable
LBY_000456,TR-002,Reliable
LBY_000457,DA-030,Reliable
LBY_000458,MU-065,Reliable
LBY_000459,TU-016,Reliable
LBY_000460,DA-028,Reliable
LBY_000461,DA-144,Reliable
LBY_000462,MA-060,Reliable
LBY_000463,TR-540,Reliable
LBY_000464,KO-031,Reliable
LBY_000465,WM-004,Reliable
LBY_000466,MI-420,Reliable
LBY_000467,WH-044,Reliable
LBY_000468,MU-074,Reliable
LBY_000469,MO-038,Reliable
LBY_000470,MO-121,Reliable
LBY_000471,TU-015,Reliable
LBY_000472,DA-029,Reliable
LBY_000473,NA-091,Reliable
LBY_000474,JA-295,Reliable
LBY_000475,MU-393,Unrelaible
LBY_000476,MI-320,Reliable
LBY_000477,KU-028,Reliable
LBY_000478,BI-023,Reliable
LBY_000479,BI-452,Reliable
LBY_000480,BI-518,Reliable
LBY_000481,JU-042,Reliable
LBY_000482,TR-155,Reliable
LBY_000483,MA-121,Reliable
LBY_000484,JU-041,Reliable
LBY_000485,JU-065,Reliable
LBY_000486,JA-001,Reliable
LBY_000487,WM-156,Reliable
LBY_000488,MA-119,Reliable
LBY_000489,WM-005,Reliable
LBY_000490,JU-067,Reliable
LBY_000491,JU-043,Reliable
LBY_000492,JU-066,Reliable
LBY_000493,TR-563,Reliable
LBY_000494,MI-308,Reliable
LBY_000495,BI-038,Reliable
LBY_000496,JA-003,Reliable
LBY_000497,KU-007,Reliable
LBY_000498,TR-151,Reliable
LBY_000499,BI-025,Reliable
LBY_000500,KO-007,Reliable
LBY_000501,KU-246,Reliable
LBY_000502,TR-278,Reliable
LBY_000503,MI-096,Reliable
LBY_000504,KU-142,Reliable
LBY_000505,AJ-013,Reliable
LBY_000506,MI-487,Reliable
LBY_000507,TR-015,Reliable
LBY_000508,KU-253,Reliable
LBY_000509,KO-001,Reliable
LBY_000510,MU-082,Reliable
LBY_000511,BI-036,Reliable
LBY_000512,NA-060,Reliable
LBY_000513,KO-010,Reliable
LBY_000514,TR-536,Reliable
LBY_000515,JA-287,Reliable
LBY_000516,MI-206,Reliable
LBY_000517,MU-125,Reliable
LBY_000518,WM-174,Reliable
LBY_000519,WM-086,Reliable
LBY_000520,MI-032,Reliable
LBY_000521,JA-104,Reliable
LBY_000522,ZA-081,Reliable
LBY_000523,DA-091,Reliable
LBY_000524,MI-427,Reliable
LBY_000525,WH-047,Reliable
LBY_000526,MI-076,Reliable
LBY_000527,MI-221,Reliable
LBY_000528,MI-140,Reliable
LBY_000529,MI-141,Reliable
LBY_000530,JU-057,Reliable
LBY_000531,JU-021,Reliable
LBY_000532,KU-102,Reliable
LBY_000533,BI-039,Reliable
LBY_000534,MI-444,Reliable
LBY_000535,BI-458,Reliable
LBY_000536,KU-115,Reliable
LBY_000537,DA-054,Reliable
LBY_000538,TR-386,Reliable
LBY_000539,NA-118,Reliable
LBY_000540,KU-260,Reliable
LBY_000541,MI-161,Reliable
LBY_000542,MU-126,Reliable
LBY_000543,MI-439,Reliable
LBY_000544,BI-214,Reliable
LBY_000545,MI-379,Reliable
LBY_000546,KU-248,Reliable
LBY_000547,KU-247,Reliable
LBY_000548,KU-023,Reliable
LBY_000549,TR-357,Reliable
LBY_000550,MI-273,Reliable
LBY_000551,BI-018,Reliable
LBY_000552,ZA-103,Reliable
LBY_000553,DA-045,Reliable
LBY_000554,DA-155,Reliable
LBY_000555,BI-520,Reliable
LBY_000556,KU-274,Reliable
LBY_000557,TR-531,Reliable
LBY_000558,BI-266,Reliable
LBY_000559,BI-148,Reliable
LBY_000560,KU-230,Reliable
LBY_000561,MI-059,Reliable
LBY_000562,MI-058,Reliable
LBY_000563,MI-375,Unrelaible
LBY_000564,TR-321,Unrelaible
LBY_000565,JA-126,Reliable
LBY_000566,WM-097,Reliable
LBY_000567,TR-398,Reliable
LBY_000568,SI-110,Reliable
LBY_000569,BI-500,Reliable
LBY_000570,BI-232,Unrelaible
LBY_000571,JA-298,Reliable
LBY_000572,JA-267,Reliable
LBY_000573,JA-266,Reliable
LBY_000574,AJ-087,Reliable
LBY_000575,MU-269,Reliable
LBY_000576,KU-117,Reliable
LBY_000577,MI-305,Reliable
LBY_000578,ZA-185,Reliable
LBY_000579,JA-304,Reliable
LBY_000580,JA-327,Reliable
LBY_000581,JA-296,Reliable
LBY_000582,JA-297,Reliable
LBY_000583,MI-376,Reliable
LBY_000584,AJ-004,Reliable
LBY_000585,TU-103,Reliable
LBY_000586,SI-081,Reliable
LBY_000587,MI-426,Reliable
LBY_000588,MI-195,Reliable
LBY_000589,BI-254,Reliable
LBY_000590,TR-065,Reliable
LBY_000591,BI-206,Reliable
LBY_000592,TR-256,Reliable
LBY_000593,BI-495,Unrelaible
LBY_000594,ZA-146,Reliable
LBY_000595,TU-019,Reliable
LBY_000596,WM-413,Reliable
LBY_000597,MI-095,Reliable
LBY_000598,TR-139,Reliable
LBY_000599,ZA-147,Unrelaible
LBY_000600,TR-279,Reliable
LBY_000601,AJ-030,Reliable
LBY_000602,JA-201,Reliable
LBY_000603,GM-007,Reliable
