geo_id,year,water_basic,water_improved,sanitation_basic,sanitation_sex_separated,handwashing_basic,electricity,internet,internet_type,computers,library
MEX_013672,2013,1.0,,1,1,,1,0,,1,
MEX_081143,2013,1.0,,0,1,,1,0,,1,
MEX_120517,2013,,,1,1,,1,0,,1,
MEX_144675,2013,1.0,,1,1,,1,1,,1,
MEX_144735,2013,,,1,1,,1,0,,1,
MEX_071838,2013,1.0,,0,1,,1,0,,1,
MEX_001937,2013,1.0,,0,1,,1,1,,1,
MEX_007273,2013,1.0,,0,1,,1,1,,1,
MEX_114343,2013,1.0,,0,1,,1,1,,1,
MEX_050989,2013,,,0,1,,1,0,,1,
MEX_005096,2013,1.0,,1,1,,1,0,,1,
MEX_029357,2013,1.0,,0,1,,1,1,,1,
MEX_112395,2013,1.0,,1,1,,1,1,,1,
MEX_094177,2013,1.0,,1,1,,1,0,,1,
MEX_119961,2013,1.0,,1,1,,1,1,,1,
MEX_005196,2013,,,1,1,,1,0,,1,
MEX_151197,2013,,,0,1,,1,0,,1,
MEX_100896,2013,1.0,,1,1,,1,1,,1,
MEX_144740,2013,1.0,,1,1,,1,0,,1,
MEX_097043,2013,1.0,,1,1,,1,1,,1,
MEX_012024,2013,1.0,,0,1,,1,0,,1,
MEX_112467,2013,1.0,,1,1,,1,1,,1,
MEX_083046,2013,1.0,,0,0,,1,1,,1,
MEX_113079,2013,1.0,,1,1,,1,1,,1,
MEX_017314,2013,1.0,,1,1,,1,1,,1,
MEX_081726,2013,1.0,,1,1,,1,1,,1,
MEX_064806,2013,1.0,,1,1,,1,1,,1,
MEX_093321,2013,,,0,1,,1,0,,1,
MEX_013467,2013,,,1,1,,1,0,,1,
MEX_093322,2013,1.0,,1,1,,1,1,,1,
MEX_072913,2013,1.0,,1,1,,1,0,,0,
MEX_111978,2013,1.0,,1,1,,1,1,,1,
MEX_107181,2013,1.0,,1,1,,1,1,,1,
MEX_121077,2013,1.0,,0,1,,1,1,,1,
MEX_088253,2013,1.0,,0,1,,1,1,,1,
MEX_035303,2013,1.0,,1,1,,1,1,,0,
MEX_062574,2013,1.0,,1,1,,1,0,,1,
MEX_037657,2013,1.0,,1,1,,1,1,,1,
MEX_046725,2013,1.0,,0,1,,1,1,,1,
MEX_048414,2013,1.0,,0,1,,1,1,,1,
MEX_072179,2013,1.0,,1,1,,1,0,,1,
MEX_000113,2013,1.0,,0,1,,1,1,,1,
MEX_074353,2013,1.0,,0,1,,1,1,,1,
MEX_000852,2013,1.0,,1,1,,1,1,,1,
MEX_147635,2013,,,1,1,,1,1,,1,
MEX_072731,2013,1.0,,1,1,,1,1,,1,
MEX_050232,2013,1.0,,1,1,,1,1,,1,
MEX_112985,2013,1.0,,1,1,,1,1,,1,
MEX_060497,2013,1.0,,0,1,,1,1,,1,
MEX_081397,2013,1.0,,1,1,,1,0,,0,
MEX_077166,2013,1.0,,0,1,,1,0,,1,
MEX_080419,2013,1.0,,1,1,,1,1,,1,
MEX_059255,2013,,,0,1,,1,0,,0,
MEX_121121,2013,1.0,,1,1,,1,1,,1,
MEX_092336,2013,1.0,,1,1,,1,0,,1,
MEX_007029,2013,1.0,,1,1,,1,1,,1,
MEX_012429,2013,1.0,,1,1,,1,1,,1,
MEX_061867,2013,1.0,,0,1,,1,1,,1,
MEX_049459,2013,1.0,,0,1,,1,0,,0,
MEX_117622,2013,1.0,,0,1,,1,1,,1,
MEX_063013,2013,1.0,,1,1,,1,0,,1,
MEX_060525,2013,1.0,,0,1,,1,1,,1,
MEX_064289,2013,1.0,,1,1,,1,1,,1,
MEX_019067,2013,1.0,,1,1,,1,1,,1,
MEX_051105,2013,,,1,1,,1,0,,1,
MEX_073241,2013,1.0,,1,1,,1,0,,1,
MEX_004123,2013,1.0,,1,1,,1,1,,0,
MEX_058479,2013,1.0,,0,1,,1,0,,1,
MEX_051744,2013,1.0,,1,1,,1,0,,1,
MEX_059111,2013,,,1,1,,1,1,,1,
MEX_007506,2013,,,0,1,,1,1,,1,
MEX_012430,2013,1.0,,1,1,,1,1,,1,
MEX_092299,2013,1.0,,1,1,,1,1,,1,
MEX_145518,2013,1.0,,1,1,,1,1,,1,
MEX_037465,2013,1.0,,0,1,,1,1,,1,
MEX_094969,2013,1.0,,1,1,,1,0,,1,
MEX_081342,2013,,,1,1,,1,0,,1,
MEX_101496,2013,1.0,,1,1,,1,0,,1,
MEX_002176,2013,,,1,1,,1,0,,1,
