geo_id,year,water_basic,water_improved,sanitation_basic,sanitation_sex_separated,handwashing_basic,electricity,internet,internet_type,computers,library,classrooms_total
HND_014517,2011,,,,,,,0,,0,,
HND_010232,2011,,,,,,,0,,0,,
HND_010480,2011,,,,,,,0,,0,,
HND_012283,2011,,,,,,,0,,0,,
HND_004296,2011,,,,,,,0,,0,,
HND_012298,2011,,,,,,,0,,0,,
HND_006687,2011,1,1,,,,0,0,,0,,
HND_006686,2011,1,1,,,,0,0,,0,,
HND_004052,2011,1,1,,,,0,0,,0,,
HND_010184,2011,,,,,,,0,,0,,
HND_005509,2011,,,,,,,0,,0,,
HND_011628,2011,1,0,,,,0,0,,0,,
HND_008092,2011,1,0,,,,1,0,,0,,
HND_002220,2011,1,1,,,,1,0,,0,,
HND_003595,2011,0,0,,,,0,0,,0,,
HND_012203,2011,1,1,,,,1,0,,0,,
HND_003594,2011,1,1,,,,1,0,,0,,
HND_007101,2011,1,1,,,,1,0,,0,,
HND_011966,2011,1,1,,,,0,0,,0,,
HND_005063,2011,1,0,,,,0,0,,0,,
HND_004490,2011,1,1,,,,0,0,,0,,
HND_014737,2011,1,1,,,,1,0,,0,,
HND_001246,2011,1,1,,,,1,0,,0,,
HND_003044,2011,1,1,,,,0,0,,0,,
HND_013098,2011,1,1,,,,1,0,,0,,
HND_006972,2011,1,1,,,,0,0,,0,,
HND_013903,2011,1,0,,,,0,0,,0,,
HND_009813,2011,1,1,,,,0,0,,0,,
HND_016393,2011,1,1,,,,1,0,,1,,
HND_016642,2011,1,1,,,,1,0,,0,,
HND_009326,2011,1,1,,,,0,0,,0,,
HND_013425,2011,1,1,,,,0,0,,0,,
HND_016640,2011,1,1,,,,1,0,,0,,
HND_009155,2011,1,1,,,,1,0,,1,,
HND_015073,2011,1,1,,,,0,0,,0,,
HND_013439,2011,1,1,,,,0,0,,0,,
HND_009387,2011,1,1,,,,1,0,,0,,
HND_003427,2011,1,1,,,,0,0,,0,,
HND_016451,2011,1,0,,,,0,0,,0,,
HND_009501,2011,1,1,,,,0,0,,0,,
HND_013349,2011,1,1,,,,0,0,,0,,
HND_016694,2011,1,0,,,,0,0,,0,,
HND_011848,2011,,0,,,,1,0,,1,,
HND_000423,2011,1,1,,,,0,0,,0,,
HND_002565,2011,1,1,,,,1,0,,1,,
HND_012044,2011,1,1,,,,1,0,,1,,
HND_015372,2011,1,1,,,,0,0,,0,,
HND_003295,2011,1,1,,,,1,0,,0,,
HND_015099,2011,1,1,,,,0,0,,0,,
HND_004491,2011,1,1,,,,1,0,,0,,
HND_012763,2011,1,1,,,,0,0,,0,,
HND_015012,2011,1,1,,,,0,0,,0,,
